央视频道,#genre#
浙江卫视,http://114.55.117.163:8091/live/gdlt.php?id=G_ZHEJIANG-CQ.m3u8&sign=a7e825&token=3y9t1n0qw0f7byn8
湖南卫视,http://114.55.117.163:8091/live/gdlt.php?id=G_HUNAN-CQ.m3u8&sign=a7e825&token=3y9t1n0qw0f7byn8
东方卫视,http://114.55.117.163:8091/live/gdlt.php?id=G_DONGFANG-CQ.m3u8&sign=a7e825&token=3y9t1n0qw0f7byn8
安徽卫视,http://114.55.117.163:8091/live/gdlt.php?id=G_ANHUI-CQ.m3u8&sign=a7e825&token=3y9t1n0qw0f7byn8
山东卫视,http://114.55.117.163:8091/live/gdlt.php?id=G_SHANDONG-CQ.m3u8&sign=a7e825&token=3y9t1n0qw0f7byn8
黑龙江卫视,http://114.55.117.163:8091/live/gdlt.php?id=G_HEILONGJIANG-CQ.m3u8&sign=a7e825&token=3y9t1n0qw0f7byn8
广东卫视,http://114.55.117.163:8091/live/gdlt.php?id=G_GUANGDONG-CQ.m3u8&sign=a7e825&token=3y9t1n0qw0f7byn8
广西卫视,http://114.55.117.163:8091/live/gdlt.php?id=G_GUANGXI-HQ.m3u8&sign=a7e825&token=3y9t1n0qw0f7byn8
东南卫视,http://114.55.117.163:8091/live/gdlt.php?id=G_DONGNAN-CQ.m3u8&sign=a7e825&token=3y9t1n0qw0f7byn8
深圳卫视,http://114.55.117.163:8091/live/gdlt.php?id=G_SHENZHEN-CQ.m3u8&sign=a7e825&token=3y9t1n0qw0f7byn8
甘肃卫视,http://114.55.117.163:8091/live/gdlt.php?id=G_GANSU-HQ.m3u8&sign=a7e825&token=3y9t1n0qw0f7byn8
贵州卫视,http://114.55.117.163:8091/live/gdlt.php?id=G_GUIZHOU-CQ.m3u8&sign=a7e825&token=3y9t1n0qw0f7byn8
海南卫视,http://114.55.117.163:8091/live/gdlt.php?id=G_HAINAN-HQ.m3u8&sign=a7e825&token=3y9t1n0qw0f7byn8
河北卫视,http://114.55.117.163:8091/live/gdlt.php?id=G_HEBEI-CQ.m3u8&sign=a7e825&token=3y9t1n0qw0f7byn8
河南卫视,http://114.55.117.163:8091/live/gdlt.php?id=G_HENAN-CQ.m3u8&sign=a7e825&token=3y9t1n0qw0f7byn8
湖北卫视,http://114.55.117.163:8091/live/gdlt.php?id=G_HUBEI-CQ.m3u8&sign=a7e825&token=3y9t1n0qw0f7byn8
吉林卫视,http://114.55.117.163:8091/live/gdlt.php?id=G_JILIN-CQ.m3u8&sign=a7e825&token=3y9t1n0qw0f7byn8
江西卫视,http://114.55.117.163:8091/live/gdlt.php?id=G_JIANGXI-CQ.m3u8&sign=a7e825&token=3y9t1n0qw0f7byn8
陕西卫视,http://114.55.117.163:8091/live/gdlt.php?id=G_SHANXI-HQ.m3u8&sign=a7e825&token=3y9t1n0qw0f7byn8
四川卫视,http://114.55.117.163:8091/live/gdlt.php?id=G_SICHUAN-CQ.m3u8&sign=a7e825&token=3y9t1n0qw0f7byn8
重庆卫视,http://114.55.117.163:8091/live/gdlt.php?id=G_CHONGQING-CQ.m3u8&sign=a7e825&token=3y9t1n0qw0f7byn8
内蒙古卫视,http://114.55.117.163:8091/live/gdlt.php?id=G_NEIMENGGU.m3u8&sign=a7e825&token=3y9t1n0qw0f7byn8
云南卫视,http://114.55.117.163:8091/live/gdlt.php?id=G_YUNNAN-CQ.m3u8&sign=a7e825&token=3y9t1n0qw0f7byn8
宁夏卫视,http://114.55.117.163:8091/live/gdlt.php?id=G_NINGXIA.m3u8&sign=a7e825&token=3y9t1n0qw0f7byn8
青海卫视,http://114.55.117.163:8091/live/gdlt.php?id=G_QINGHAI.m3u8&sign=a7e825&token=3y9t1n0qw0f7byn8
厦门卫视,http://114.55.117.163:8091/live/gdlt.php?id=G_XIAMEN.m3u8&sign=a7e825&token=3y9t1n0qw0f7byn8
西藏卫视,http://114.55.117.163:8091/live/gdlt.php?id=G_XIZANG.m3u8&sign=a7e825&token=3y9t1n0qw0f7byn8
新疆卫视,http://114.55.117.163:8091/live/gdlt.php?id=G_XINJIANG.m3u8&sign=a7e825&token=3y9t1n0qw0f7byn8
三沙卫视,http://114.55.117.163:8091/live/gdlt.php?id=G_SANSHA-HQ.m3u8&sign=a7e825&token=3y9t1n0qw0f7byn8
延边卫视,http://114.55.117.163:8091/live/gdlt.php?id=G_YANBIAN.m3u8&sign=a7e825&token=3y9t1n0qw0f7byn8
兵团卫视,http://114.55.117.163:8091/live/gdlt.php?id=G_BINGTUAN.m3u8&sign=a7e825&token=3y9t1n0qw0f7byn8
农林卫视,http://114.55.117.163:8091/live/gdlt.php?id=G_NONGLIN.m3u8&sign=a7e825&token=3y9t1n0qw0f7byn8
康巴卫视,http://114.55.117.163:8091/live/gdlt.php?id=G_KANGBA.m3u8&sign=a7e825&token=3y9t1n0qw0f7byn8
安多卫视,http://114.55.117.163:8091/live/gdlt.php?id=G_ANDUO.m3u8&sign=a7e825&token=3y9t1n0qw0f7byn8

港澳频道,#genre#
凤凰资讯,http://114.55.117.163:8091/live/fhx.php?id=fhzx.flv&sign=a7e825&token=3y9t1n0qw0f7byn8
凤凰中文,http://114.55.117.163:8091/live/fhx.php?id=fhzw.flv&sign=a7e825&token=3y9t1n0qw0f7byn8
凤凰香港,http://114.55.117.163:8091/live/fhx.php?id=fhhk.flv&sign=a7e825&token=3y9t1n0qw0f7byn8

本地频道,#genre#
北京纪实,http://114.55.117.163:8091/live/gdlt.php?id=G_BEIJINGJS-CQ.m3u8&sign=a7e825&token=3y9t1n0qw0f7byn8
上海纪实,http://114.55.117.163:8091/live/gdlt.php?id=G_SHANGHAIJS-HD.m3u8&sign=a7e825&token=3y9t1n0qw0f7byn8
女性时尚,http://114.55.117.163:8091/live/gdlt.php?id=G_NVXINGSS-CQ.m3u8&sign=a7e825&token=3y9t1n0qw0f7byn8
金鹰卡通,http://114.55.117.163:8091/live/gdlt.php?id=G_JINYING.m3u8&sign=a7e825&token=3y9t1n0qw0f7byn8
卡酷少儿,http://114.55.117.163:8091/live/gdlt.php?id=G_KAKU.m3u8&sign=a7e825&token=3y9t1n0qw0f7byn8
炫动卡通,http://114.55.117.163:8091/live/gdlt.php?id=G_XUANDONG.m3u8&sign=a7e825&token=3y9t1n0qw0f7byn8
优漫卡通,http://114.55.117.163:8091/live/gdlt.php?id=G_YOUMAN.m3u8&sign=a7e825&token=3y9t1n0qw0f7byn8
嘉佳卡通,http://114.55.117.163:8091/live/gdlt.php?id=G_JIAJIA.m3u8&sign=a7e825&token=3y9t1n0qw0f7byn8
徐闻综合,http://114.55.117.163:8091/live/gdlt.php?id=zanjiang01.m3u8&sign=a7e825&token=3y9t1n0qw0f7byn8
梅州综合,http://114.55.117.163:8091/live/gdlt.php?id=meizhou1.m3u8&sign=a7e825&token=3y9t1n0qw0f7byn8
客家生活,http://114.55.117.163:8091/live/gdlt.php?id=meizhou2.m3u8&sign=a7e825&token=3y9t1n0qw0f7byn8
阳江-1,http://114.55.117.163:8091/live/gdlt.php?id=yangjiang1.m3u8&sign=a7e825&token=3y9t1n0qw0f7byn8
阳江-2,http://114.55.117.163:8091/live/gdlt.php?id=yangjiang2.m3u8&sign=a7e825&token=3y9t1n0qw0f7byn8
广东国际大厦,http://114.55.117.163:8091/live/gdlt.php?id=G_GUANGDONGGJ.m3u8&sign=a7e825&token=3y9t1n0qw0f7byn8
广东电视中心,http://114.55.117.163:8091/live/gdlt.php?id=G_GUANGDONGDS.m3u8&sign=a7e825&token=3y9t1n0qw0f7byn8

数字频道,#genre#
家庭理财,http://114.55.117.163:8091/live/gdlt.php?id=G_JIATINGLC.m3u8&sign=a7e825&token=3y9t1n0qw0f7byn8
中华美食,http://114.55.117.163:8091/live/gdlt.php?id=G_ZHONGHUAMS.m3u8&sign=a7e825&token=3y9t1n0qw0f7byn8
天元围棋,http://114.55.117.163:8091/live/gdlt.php?id=G_TIANYUANWQ.m3u8&sign=a7e825&token=3y9t1n0qw0f7byn8
青海卫视,http://114.55.117.163:8091/live/gdlt.php?id=G_QINGHAI.m3u8&sign=a7e825&token=3y9t1n0qw0f7byn8
厦门卫视,http://114.55.117.163:8091/live/gdlt.php?id=G_XIAMEN.m3u8&sign=a7e825&token=3y9t1n0qw0f7byn8
早期教育,http://114.55.117.163:8091/live/gdlt.php?id=G_CETV-ZQJY-CQ.m3u8&sign=a7e825&token=3y9t1n0qw0f7byn8
国学,http://114.55.117.163:8091/live/gdlt.php?id=G_GUOXUE.m3u8&sign=a7e825&token=3y9t1n0qw0f7byn8
山东教育,http://114.55.117.163:8091/live/gdlt.php?id=G_SDETV.m3u8&sign=a7e825&token=3y9t1n0qw0f7byn8
发现之旅,http://114.55.117.163:8091/live/gdlt.php?id=G_FAXIANZL.m3u8&sign=a7e825&token=3y9t1n0qw0f7byn8
老故事,http://114.55.117.163:8091/live/gdlt.php?id=G_LAOGUSHI.m3u8&sign=a7e825&token=3y9t1n0qw0f7byn8

动物频道,#genre#
袋鼠动物园,http://114.55.117.163:8091/live/gdlt.php?id=G_ZOO-101.m3u8&sign=a7e825&token=3y9t1n0qw0f7byn8
长颈鹿动物园,http://114.55.117.163:8091/live/gdlt.php?id=G_ZOO-201.m3u8&sign=a7e825&token=3y9t1n0qw0f7byn8
孔雀动物园,http://114.55.117.163:8091/live/gdlt.php?id=G_ZOO-301.m3u8&sign=a7e825&token=3y9t1n0qw0f7byn8
火烈鸟动物园,http://114.55.117.163:8091/live/gdlt.php?id=G_ZOO-401.m3u8&sign=a7e825&token=3y9t1n0qw0f7byn8
老虎动物园,http://114.55.117.163:8091/live/gdlt.php?id=G_ZOO-501.m3u8&sign=a7e825&token=3y9t1n0qw0f7byn8
黑熊动物园,http://114.55.117.163:8091/live/gdlt.php?id=G_ZOO-601.m3u8&sign=a7e825&token=3y9t1n0qw0f7byn8
大象动物园,http://114.55.117.163:8091/live/gdlt.php?id=G_ZOO-102.m3u8&sign=a7e825&token=3y9t1n0qw0f7byn8
斑马动物园,http://114.55.117.163:8091/live/gdlt.php?id=G_ZOO-801.m3u8&sign=a7e825&token=3y9t1n0qw0f7byn8
狮子动物园,http://114.55.117.163:8091/live/gdlt.php?id=G_ZOO-901.m3u8&sign=a7e825&token=3y9t1n0qw0f7byn8
